"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_pre","motivo_indisp_pos","horas_trabalho","ano","motivo_indisp","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"1","menor",11,8.00254363466544,0.10069217951532,0.0756781904582563,0.172013093289689,0.000499831624516318,0,3.88569843251491,434.533114843643,NA,2.86883295588109,22.7893605215703,2018,2.86883295588109,0.343806353169649,0.0712304064363989,0.00873907615480649,0,0.0841309474268276,0.492093216812318,0.0420262018748387,0.594429951552332,0.0203967548662672,0.220049881030875,0.0420262018748387
"2","menor",12,8.11601880934657,0.162213457337692,0.0298661174047374,0.111111111111111,0.000508360718241072,0.000603651580492846,4.09801912568306,445.801767676768,NA,2.65148571054298,25.5023907103825,2018,2.65148571054298,0.282103825136612,0.0775273224043716,0,0,0.181352459016393,0.459016393442623,0.0297360434906011,0.721262799379953,0.0267013077745999,0.105102285876471,0.0244743794074624
"3","menor",13,8.11126912466338,0.156272037035536,0.0330455931531963,0,0.000230992065710255,0.000114636007517343,4.84227141335768,412.979260369815,NA,2.59242206235012,22.4969572493534,2018,2.59242206235012,0.159668340179522,0.0516887266088544,0.0297809219534459,0,0.0632892134489579,0.69557279780922,0.0832400746069811,0.651771915800693,0.00843058886224354,0.171638689048761,0.015720756727951
"4","menor",14,8.06867116830169,0.158810150292111,0.0205245972227206,0.122522522522523,0.0031150465027392,0.000463809481336128,3.98195488721805,547.649572649573,NA,2.72974863048292,24.406015037594,2018,2.72974863048292,0.32781954887218,0,0.0894736842105263,0,0.110526315789474,0.47218045112782,0.0228835619099421,0.715684370022145,0.0197365865029721,0.0470103733633785,0.13986557364311
"5","menor",15,8.43862632757405,0.203581150501531,0.0502388349514563,0.170843757107118,0.000297047050628343,0.000235671690798742,3.91873845196934,345.870808448167,NA,2.64785240349293,22.3320527596363,2018,2.64785240349293,0.333351627243291,0.0618882973858003,0.00695168578380257,0,0.146095164919598,0.451713224667508,0.0305324237826723,0.729400338010741,0.0185610204921855,0.0969745081670765,0.0322520477400365
"6","menor",16,8.27418098274121,0.13703178936197,0.00855565777368905,0,0.00138722166132712,0,3.21615949632739,377.614678899083,NA,2.46041333139281,24.2004197271773,2018,2.46041333139281,0.55299055613851,0,0,0,0.018887722980063,0.428121720881427,0.0229709406685102,0.762431475282589,0.0236743802454762,0.148207441905594,0.00756803958666861
"7","menor",17,8.3433618381674,0.146411522738237,0.0636252601103773,0,0.0035472510544314,0,2.30405788876277,443.761717568793,NA,3.0991834295957,28.5458286038593,2018,3.0991834295957,0.400681044267877,0.384931895573212,0,0,0.152809307604994,0.061577752553916,0.0296488083383124,0.511744008497643,0.00820553674566819,0.323866427670451,0.0332470291442608
"8","menor",21,8.41616707064076,0.197918867852248,0.0327815454921121,0.0464890679800015,0.00128141009054445,0.000762459791676707,3.5271165465531,278.868827610331,NA,2.83671589186525,23.8836354371406,2018,2.83671589186525,0.39073305670816,0.0915410933973939,0.00549610540875009,0,0.136565480090267,0.375664264395428,0.0309492053799553,0.6555789451131,0.0200918084770184,0.158449968665135,0.00904693802124343
"9","menor",22,8.22484220936648,0.157060869703651,0.0266690981807663,0,0.000161396295439925,7.95994555397241e-05,4.24555801195447,161.744223427768,NA,2.52704480383812,14.9857528862687,2018,2.52704480383812,0.288217473184312,0.0507655776631458,0.020879390813068,0,0.0476541390321788,0.592483419307296,0.0321977024755018,0.775861219953149,0.0180228345515044,0.0671881704923568,0.0200769593325501
"10","menor",23,8.2372827725398,0.128147156739937,0.0369280516621964,0.0441936101013966,0.0011559824605338,0.00119751676064059,3.50467026188714,285.983313400535,NA,2.53613407065706,20.4367840400409,2018,2.53613407065706,0.310387367382186,0.146522857847802,0.0958020513905044,0,0.069895315639209,0.377392407740298,0.0168510402872796,0.780767427981589,0.0217483178415095,0.0881279439374419,0.0150401745807731
"11","menor",24,8.36569895406583,0.173394155535451,0.0433452927071619,0.0596868884540117,0,0.000604194060772383,2.42882168541398,226.02862254025,NA,2.64673815610371,16.8721187534575,2018,2.64673815610371,0.557071731513922,0.176286188456574,0.0204683754379495,0,0.0192697768762677,0.226903927715287,0.0288038245742173,0.74528070117194,0.0148799840642741,0.0616579794827529,0.0601640051791109
"12","menor",25,8.32861993500768,0.160925956156102,0.0433389316808556,0,0,0.000227750248813856,3.52233125185846,329.657424151095,NA,2.85172258439225,20.345108534047,2018,2.85172258439225,0.460898007731192,0.0140350877192982,0,0,0.117038358608385,0.408028545941124,0.0266081887216453,0.679806110872881,0.00532489456057407,0.130967437265577,0.0181024702951218
"13","menor",26,8.23320128185614,0.14575078005046,0.03389076016797,0.0200064536947402,0.000230380056780205,0.00138901556499123,2.66074188562597,379.292381974249,NA,2.39683490300994,27.139575820024,2018,2.39683490300994,0.554267559677142,0.0845783960157994,0.0264039155074704,0,0.150394985402713,0.184355143396874,0.0184014040377647,0.820929689432951,0.0214120383751824,0.0702828192671348,0.0226375654096151
"14","menor",27,8.46126154173331,0.17424000477562,0.0213024954351795,0.0329319243057262,0.00194138997383344,0.000868565970719477,2.8296054675365,365.73224852071,NA,2.87576254587075,23.4869524697111,2018,2.87576254587075,0.535880708294501,0.0753339546442995,0.0208139173656415,0,0.127213420316869,0.240757999378689,0.0266669813213135,0.631051693825296,0.0158526944270729,0.201430105369975,0.0162774782003327
"15","menor",28,8.24570799396289,0.159920504072372,0.0346061174566389,0.0450829824126827,0.00084734185120612,0.000737984203997676,3.13016930335831,457.515542995559,NA,2.66281806972313,20.7095475992229,2018,2.66281806972313,0.48834304746045,0.0514848737163475,0.0203996669442132,0.033721898417985,0.0935331668054399,0.312517346655565,0.0135023590914186,0.761186577126494,0.0190969214621272,0.0753992112584199,0.0168346394105838
"16","menor",29,8.2080462112692,0.178328821383632,0.043845794772158,0.0474736345033842,0.000398271825722865,0.000311694178600393,3.37520466304277,307.229986657772,NA,2.88299439926963,21.5796548562447,2018,2.88299439926963,0.399878839478682,0.0865642805684721,0.0336466042307944,0,0.178204204597551,0.301706071124501,0.0220095427135596,0.65615416514369,0.0330470956352985,0.12389792476303,0.0354040901558599
"17","menor",31,8.06079669547051,0.120468450892912,0.0824950724226387,0.232794793480433,0.000539551566219699,0.000718935713280344,2.73687658592849,435.507849756835,NA,2.58360867902699,23.2944590542099,2018,2.58360867902699,0.554897347174164,0.0786066897347174,0.0130103806228374,0,0.13517877739331,0.218306805074971,0.0132390037971794,0.770982882578776,0.0161201539041195,0.0994718124913334,0.0189606849769802
"18","menor",32,7.97152611749766,0.129258862769732,0.0465314422361448,0.2810442144873,0.000153085389797527,0,2.98554319325349,472.946702613024,NA,2.61000847719903,25.5307915810361,2018,2.61000847719903,0.540712918999362,0.0442916873361208,0.0176458082347105,0,0.0807880377010843,0.316561547728722,0.0243887670384972,0.729402424748039,0.0213141004077129,0.112692923557194,0.0611098402788057
"19","menor",33,8.09688616742487,0.0835822579280503,0.0114307205754493,0.271140939597315,0.00031056076780832,0.000336823783949299,2.95426336818839,694.137157894737,NA,2.3625159637272,29.2541868570943,2018,2.3625159637272,0.528096574003231,0.0419110771061804,0,0,0.237609453370739,0.19238289551985,0.0103838523385354,0.813836033445514,0.0129460807543715,0.141235813366961,0.00891077180102971
"20","menor",35,7.99712297435872,0.122287913999009,0.0597405750729767,0.266129511047029,0.000463282093002297,0.000930498579662084,2.01947308917743,596.325098905854,NA,2.77002093444338,26.5094864503751,2018,2.77002093444338,0.735496248586796,0.00704374935763473,0.0653328308609408,0,0.078872177875227,0.113254993319401,0.00966859689478969,0.667582248534654,0.0132846652256508,0.225201718221607,0.0210496548238901
