"","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"1",11,31.1954631323622,0.0713177614596125,0.527261334002521,0.587766315004452,0.327085368034444,0.34203591388687,2.86582895337555,1972.28585105784,NA,2.89895744187349,39.0942471962124,2018,0.419678589732014,0.0547315625290107,0.153771808120334,0.0349870985709871,0.285562226345367,0.0512687147022879,1,1,1,1,1
"2",12,28.7130531444997,0.125972481297812,0.441373676538899,0.525999516288069,0.29735060579619,0.348721881722876,2.97171816514236,1724.52742049518,NA,3.17815881508938,37.0463340698731,2018,0.359854158646147,0.0539270081493871,0.225387653953537,0.0239920026657781,0.289156041837187,0.0476831347479643,1,1,1,1,1
"3",13,29.3891450615796,0.0807562381350864,0.466808132699702,0.552478961950817,0.272256612353976,0.395610339282582,3.2401036376404,1641.65476648598,NA,2.76705870092347,35.8600649710638,2018,0.338476557272796,0.0460207453702701,0.166715520284659,0.028662842490413,0.325958348679742,0.0941659859021203,1,1,1,1,1
"4",14,28.8178544189522,0.0830435959693287,0.488412579217735,0.448883734415773,0.287085966441491,0.436012986486976,2.86044650258697,2136.95200744612,NA,3.13579794506068,38.6778197029033,2018,0.339350541691679,0.066608543197172,0.28295648362538,0.0335258077732994,0.260445549743209,0.0171130739692613,1,1,1,1,1
"5",15,29.9336298651447,0.114285438754511,0.469878426880846,0.456846439329803,0.282782738723881,0.308678525713353,3.10176577622749,1509.58640310673,NA,3.07720187740823,37.4356726972551,2018,0.360996036790548,0.0601598479816663,0.14205591307038,0.0419862673252955,0.342474374031374,0.0523275608007355,1,1,1,1,1
"6",16,28.8099988913404,0.0745359867876909,0.463791130863101,0.535469522683294,0.261971391708932,0.404579096999306,2.93866586020295,1821.35855488731,NA,2.61999741022099,36.8676219829999,2018,0.3457059024136,0.0747019194265528,0.224350271216323,0.0242421707601135,0.312461794853646,0.0185379413297643,1,1,1,1,1
"7",17,31.9584256310372,0.104905799690198,0.494011983544535,0.472055375370316,0.326046222733371,0.379337765821181,2.74638651819255,1883.88801030403,NA,3.30219155727378,39.2913614822877,2018,0.382320331712094,0.0857536267365686,0.226063850523719,0.0311003478984966,0.258605068932555,0.0161567741965665,1,1,1,1,1
"8",21,30.2607053022896,0.164583412531682,0.359919776306993,0.409694490326491,0.285238495410071,0.292042482305791,2.99387894052641,1316.74653897518,NA,3.36267197037981,36.460687670964,2018,0.37184170519162,0.0619176566050993,0.170422784802256,0.0272840607735665,0.33340543114119,0.0351283614862689,1,1,1,1,1
"9",22,32.9939282344005,0.157606725955545,0.444394128436328,0.432564598216673,0.305075455919473,0.301253815078704,3.09512329353854,1349.38781061887,NA,3.08360884719873,34.8879866845025,2018,0.3562808883402,0.0620762633464006,0.157482212016544,0.0449405912452494,0.312839392834732,0.0663806522168744,1,1,1,1,1
"10",23,33.1916247921348,0.124627069753948,0.456046950400526,0.497493011238291,0.32166732921743,0.354161623319644,2.72819357294529,1510.40106877009,NA,3.12653669767319,37.3471557376516,2018,0.447550813250595,0.0736927693465582,0.127729632947331,0.0376254470763538,0.280841490420799,0.0325598469583625,1,1,1,1,1
"11",24,33.3726413805619,0.140358758507232,0.441340149154844,0.520775587389581,0.312106345549413,0.350104564362466,2.65630967711655,1565.23882956137,NA,3.36923012240483,37.4735381948213,2018,0.453027600712239,0.0599557930987952,0.164901715180832,0.0512772186320208,0.241469564120541,0.0293681082555728,1,1,1,1,1
"12",25,33.3377430875434,0.161199434977987,0.450455825040772,0.439903154606925,0.315698347116807,0.316624427437851,2.82856596590647,1589.12234398799,NA,3.28763901681848,37.4510841113837,2018,0.399558174455408,0.0718503021699136,0.173991081549134,0.0453875923369216,0.273493523815593,0.0357193256730296,1,1,1,1,1
