ANO_ELEICAO,NR_TURNO,SG_UF,CD_MUNICIPIO,DS_CARGO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO
2018,2,PR,78115,Presidente,8161,ELEITO
2018,2,PR,75507,Presidente,2862,ELEITO
2018,2,PA,4995,Presidente,2064,ELEITO
2018,2,GO,94110,Presidente,1475,ELEITO
2018,2,PA,4804,Presidente,4663,ELEITO
2018,2,RN,16110,Presidente,587,ELEITO
2018,2,PI,10537,Presidente,2894,ELEITO
2018,2,PI,12220,Presidente,345,ELEITO
2018,2,PE,24198,Presidente,18995,ELEITO
2018,2,PE,25712,Presidente,3576,ELEITO
2018,2,GO,92568,Presidente,1311,ELEITO
2018,2,PI,12351,Presidente,233,ELEITO
2018,2,PE,23930,Presidente,951,ELEITO
2018,2,MA,8737,Presidente,1136,ELEITO
2018,2,TO,73423,Presidente,520,ELEITO
2018,2,TO,95192,Presidente,16149,ELEITO
2018,2,MT,90948,Presidente,514,ELEITO
2018,2,PB,19429,Presidente,471,ELEITO
2018,2,TO,92240,Presidente,1146,ELEITO
2018,2,ES,56200,Presidente,1475,ELEITO
2018,2,RO,175,Presidente,13779,ELEITO
2018,2,AL,27898,Presidente,7462,ELEITO
2018,2,DF,97012,Presidente,60985,ELEITO
2018,2,MG,40711,Presidente,697,ELEITO
2018,2,MG,50750,Presidente,878,ELEITO
2018,2,MG,50350,Presidente,22674,ELEITO
2018,2,RS,87653,Presidente,2460,ELEITO
2018,2,RS,87297,Presidente,32683,ELEITO
2018,2,MG,41238,Presidente,59381,ELEITO
2018,2,SP,67911,Presidente,1443,ELEITO
2018,2,SP,66672,Presidente,1282,ELEITO
2018,2,RS,88366,Presidente,1525,ELEITO
2018,2,SP,61557,Presidente,40656,ELEITO
2018,2,SP,67210,Presidente,900,ELEITO
2018,2,MG,44490,Presidente,1932,ELEITO
2018,2,MG,40134,Presidente,991,ELEITO
2018,2,SP,69256,Presidente,5072,ELEITO
2018,2,MG,41076,Presidente,8352,ELEITO
2018,2,RS,88382,Presidente,1999,ELEITO
2018,2,RS,86517,Presidente,30443,ELEITO
2018,2,RS,86371,Presidente,21338,ELEITO
2018,2,BA,37338,Presidente,1298,ELEITO
2018,2,BA,38911,Presidente,2263,ELEITO
2018,2,BA,38270,Presidente,2839,ELEITO
2018,2,BA,36773,Presidente,3294,ELEITO
2018,2,RN,16675,Presidente,1030,ELEITO
2018,2,PA,5932,Presidente,1602,ELEITO
2018,2,RJ,60011,Presidente,41802,ELEITO
2018,2,PR,76554,Presidente,1838,ELEITO
2018,2,PR,74128,Presidente,1378,ELEITO
2018,2,GO,93440,Presidente,1000,ELEITO
2018,2,PB,20397,Presidente,4741,ELEITO
2018,2,PI,12335,Presidente,235,ELEITO
2018,2,PE,24678,Presidente,1609,ELEITO
2018,2,PB,19763,Presidente,1212,ELEITO
2018,2,GO,92720,Presidente,1505,ELEITO
2018,2,PE,25216,Presidente,13711,ELEITO
2018,2,MA,8389,Presidente,1857,ELEITO
2018,2,MA,7498,Presidente,1942,ELEITO
2018,2,SE,32352,Presidente,1905,ELEITO
2018,2,MT,90506,Presidente,14839,ELEITO
2018,2,ES,56111,Presidente,30832,ELEITO
2018,2,AL,27073,Presidente,6287,ELEITO
2018,2,MG,40428,Presidente,1730,ELEITO
2018,2,MG,41556,Presidente,3778,ELEITO
2018,2,MG,46914,Presidente,5306,ELEITO
2018,2,SP,71374,Presidente,4123,ELEITO
2018,2,MG,47856,Presidente,2986,ELEITO
2018,2,MG,53597,Presidente,10419,ELEITO
2018,2,RS,85715,Presidente,2580,ELEITO
2018,2,MG,48593,Presidente,4100,ELEITO
2018,2,SP,69191,Presidente,6276,ELEITO
2018,2,RS,86134,Presidente,3364,ELEITO
2018,2,SP,70670,Presidente,1125,ELEITO
2018,2,RS,89672,Presidente,4337,ELEITO
2018,2,MG,43079,Presidente,955,ELEITO
2018,2,SP,66079,Presidente,57771,ELEITO
2018,2,SP,64912,Presidente,2629,ELEITO
2018,2,MG,48259,Presidente,1243,ELEITO
2018,2,MG,45110,Presidente,978,ELEITO
2018,2,MG,53872,Presidente,17169,ELEITO
2018,2,RS,86932,Presidente,10125,ELEITO
2018,2,BA,30937,Presidente,785,ELEITO
2018,2,BA,33812,Presidente,873,ELEITO
2018,2,BA,39675,Presidente,1005,ELEITO
2018,2,BA,33995,Presidente,3692,ELEITO
2018,2,PR,76910,Presidente,50210,ELEITO
2018,2,AP,6106,Presidente,1196,ELEITO
2018,2,BA,38350,Presidente,1722,ELEITO
2018,2,RN,16209,Presidente,480,ELEITO
2018,2,PR,74748,Presidente,2190,ELEITO
2018,2,RJ,58114,Presidente,12540,ELEITO
2018,2,BA,33936,Presidente,4698,ELEITO
2018,2,RJ,58076,Presidente,22765,ELEITO
2018,2,RJ,58190,Presidente,40839,ELEITO
2018,2,PR,78670,Presidente,2546,ELEITO
2018,2,PR,77658,Presidente,6972,ELEITO
2018,2,GO,93734,Presidente,56673,ELEITO
2018,2,PA,4758,Presidente,8318,ELEITO
2018,2,GO,94250,Presidente,34589,ELEITO
2018,2,SC,81698,Presidente,2198,ELEITO
2018,2,SC,80683,Presidente,5164,ELEITO
2018,2,SC,82430,Presidente,2685,ELEITO
2018,2,SC,80446,Presidente,985,ELEITO
2018,2,RN,16179,Presidente,598,ELEITO
2018,2,PE,25674,Presidente,3643,ELEITO
2018,2,PB,19992,Presidente,2859,ELEITO
2018,2,PI,12653,Presidente,176,ELEITO
2018,2,GO,92789,Presidente,905,ELEITO
2018,2,PE,25550,Presidente,808,ELEITO
2018,2,PE,25135,Presidente,27412,ELEITO
2018,2,CE,13510,Presidente,8274,ELEITO
2018,2,MS,55000,Presidente,5360,ELEITO
2018,2,SE,31593,Presidente,6270,ELEITO
2018,2,SE,31216,Presidente,500,ELEITO
2018,2,MT,91995,Presidente,5517,ELEITO
2018,2,AM,98370,Presidente,691,ELEITO
2018,2,RO,787,Presidente,847,ELEITO
2018,2,ES,56278,Presidente,16286,ELEITO
2018,2,MG,40517,Presidente,15971,ELEITO
2018,2,MG,52434,Presidente,2947,ELEITO
2018,2,MG,45136,Presidente,3587,ELEITO
2018,2,MG,47430,Presidente,17088,ELEITO
2018,2,SP,71552,Presidente,4951,ELEITO
