ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,1007,AC,Presidente,NÃO ELEITO,4693
2022,2,1015,AC,Presidente,ELEITO,1497
2022,2,1015,AC,Presidente,NÃO ELEITO,3963
2022,2,1023,AC,Presidente,ELEITO,2317
2022,2,1023,AC,Presidente,NÃO ELEITO,7384
2022,2,1031,AC,Presidente,ELEITO,1217
2022,2,1031,AC,Presidente,NÃO ELEITO,1127
2022,2,1040,AC,Presidente,ELEITO,2742
2022,2,1040,AC,Presidente,NÃO ELEITO,3710
2022,2,1058,AC,Presidente,ELEITO,3958
2022,2,1058,AC,Presidente,NÃO ELEITO,9593
2022,2,1066,AC,Presidente,ELEITO,2093
2022,2,1066,AC,Presidente,NÃO ELEITO,1866
2022,2,1074,AC,Presidente,ELEITO,9733
2022,2,1074,AC,Presidente,NÃO ELEITO,31936
2022,2,1082,AC,Presidente,ELEITO,1455
2022,2,1082,AC,Presidente,NÃO ELEITO,6011
2022,2,1090,AC,Presidente,ELEITO,2708
2022,2,1090,AC,Presidente,NÃO ELEITO,6331
2022,2,1104,AC,Presidente,ELEITO,1980
2022,2,1104,AC,Presidente,NÃO ELEITO,1433
2022,2,1112,AC,Presidente,ELEITO,2464
2022,2,1112,AC,Presidente,NÃO ELEITO,6729
2022,2,1120,AC,Presidente,ELEITO,1460
2022,2,1120,AC,Presidente,NÃO ELEITO,5317
2022,2,1139,AC,Presidente,ELEITO,7113
2022,2,1139,AC,Presidente,NÃO ELEITO,6383
2022,2,1392,AC,Presidente,ELEITO,53873
2022,2,1392,AC,Presidente,NÃO ELEITO,142090
2022,2,1457,AC,Presidente,ELEITO,4976
2022,2,1457,AC,Presidente,NÃO ELEITO,13606
2022,2,1473,AC,Presidente,ELEITO,6802
2022,2,1473,AC,Presidente,NÃO ELEITO,9067
2022,2,1490,AC,Presidente,ELEITO,3634
2022,2,1490,AC,Presidente,NÃO ELEITO,5217
2022,2,1511,AC,Presidente,ELEITO,2306
2022,2,1511,AC,Presidente,NÃO ELEITO,6176
2022,2,1538,AC,Presidente,ELEITO,3338
2022,2,1538,AC,Presidente,NÃO ELEITO,9512
2022,2,1554,AC,Presidente,ELEITO,2047
2022,2,1554,AC,Presidente,NÃO ELEITO,2889
2022,2,1570,AC,Presidente,ELEITO,1895
2022,2,1570,AC,Presidente,NÃO ELEITO,2717
2022,2,2003,AM,Presidente,ELEITO,2809
2022,2,2003,AM,Presidente,NÃO ELEITO,4924
2022,2,2011,AM,Presidente,ELEITO,4166
2022,2,2011,AM,Presidente,NÃO ELEITO,3727
2022,2,2020,AM,Presidente,ELEITO,2891
2022,2,2020,AM,Presidente,NÃO ELEITO,4407
2022,2,2038,AM,Presidente,ELEITO,4010
2022,2,2038,AM,Presidente,NÃO ELEITO,3036
2022,2,2046,AM,Presidente,ELEITO,6982
2022,2,2046,AM,Presidente,NÃO ELEITO,4183
2022,2,2054,AM,Presidente,ELEITO,4660
2022,2,2054,AM,Presidente,NÃO ELEITO,1136
2022,2,2070,AM,Presidente,ELEITO,12283
2022,2,2070,AM,Presidente,NÃO ELEITO,6806
2022,2,2097,AM,Presidente,ELEITO,4616
2022,2,2097,AM,Presidente,NÃO ELEITO,2483
2022,2,2119,AM,Presidente,ELEITO,14079
2022,2,2119,AM,Presidente,NÃO ELEITO,1327
2022,2,2135,AM,Presidente,ELEITO,13370
2022,2,2135,AM,Presidente,NÃO ELEITO,2623
2022,2,2151,AM,Presidente,ELEITO,7050
2022,2,2151,AM,Presidente,NÃO ELEITO,8499
2022,2,2178,AM,Presidente,ELEITO,12371
2022,2,2178,AM,Presidente,NÃO ELEITO,3281
2022,2,2194,AM,Presidente,ELEITO,3539
2022,2,2194,AM,Presidente,NÃO ELEITO,2951
2022,2,2216,AM,Presidente,ELEITO,10998
2022,2,2216,AM,Presidente,NÃO ELEITO,2936
2022,2,2232,AM,Presidente,ELEITO,9949
2022,2,2232,AM,Presidente,NÃO ELEITO,5570
2022,2,2259,AM,Presidente,ELEITO,19841
2022,2,2259,AM,Presidente,NÃO ELEITO,12829
2022,2,2275,AM,Presidente,ELEITO,6403
2022,2,2275,AM,Presidente,NÃO ELEITO,4206
2022,2,2291,AM,Presidente,ELEITO,10435
2022,2,2291,AM,Presidente,NÃO ELEITO,3653
2022,2,2313,AM,Presidente,ELEITO,5064
2022,2,2313,AM,Presidente,NÃO ELEITO,1971
2022,2,2330,AM,Presidente,ELEITO,8421
2022,2,2330,AM,Presidente,NÃO ELEITO,2480
2022,2,2356,AM,Presidente,ELEITO,12406
2022,2,2356,AM,Presidente,NÃO ELEITO,10935
2022,2,2372,AM,Presidente,ELEITO,3703
2022,2,2372,AM,Presidente,NÃO ELEITO,1305
2022,2,2399,AM,Presidente,ELEITO,4833
2022,2,2399,AM,Presidente,NÃO ELEITO,2264
2022,2,2410,AM,Presidente,ELEITO,31621
2022,2,2410,AM,Presidente,NÃO ELEITO,17807
2022,2,2437,AM,Presidente,ELEITO,3538
2022,2,2437,AM,Presidente,NÃO ELEITO,2457
2022,2,2453,AM,Presidente,ELEITO,1774
2022,2,2453,AM,Presidente,NÃO ELEITO,1128
2022,2,2470,AM,Presidente,ELEITO,2870
2022,2,2470,AM,Presidente,NÃO ELEITO,1801
2022,2,2496,AM,Presidente,ELEITO,6872
2022,2,2496,AM,Presidente,NÃO ELEITO,2222
2022,2,2518,AM,Presidente,ELEITO,11683
2022,2,2518,AM,Presidente,NÃO ELEITO,6242
2022,2,2534,AM,Presidente,ELEITO,28386
2022,2,2534,AM,Presidente,NÃO ELEITO,23667
2022,2,2550,AM,Presidente,ELEITO,437691
2022,2,2550,AM,Presidente,NÃO ELEITO,692580
2022,2,2577,AM,Presidente,ELEITO,15172
2022,2,2577,AM,Presidente,NÃO ELEITO,8056
2022,2,2593,AM,Presidente,ELEITO,3785
2022,2,2593,AM,Presidente,NÃO ELEITO,1433
2022,2,2615,AM,Presidente,ELEITO,21003
2022,2,2615,AM,Presidente,NÃO ELEITO,3701
2022,2,2631,AM,Presidente,ELEITO,8939
2022,2,2631,AM,Presidente,NÃO ELEITO,1457
2022,2,2658,AM,Presidente,ELEITO,10114
